Company Name,Capacity Allotted (MT/A),Email Address,Phone Number,Type
Kuldeep Green Recyclers Private Limited,1200,ewastekuldeep@gmail.com,7733995555,Refurbisher
Vozon Comsof Pvt Ltd,5000,rajendrakale.vozon@gmail.c om,8600726007,Refurbisher
"J K Corporation
 Survey",200,j.kcorporation0786@gmail.c om,9769739420,Refurbisher
"Ambar Enterprises
 S.",1000,ambarent028@gmail.com,9890812746,Refurbisher
Kohinoor E-Waste Recycling Pvt. Ltd. Gut,8000,kohinoorewasterecycling @gmail.com,9821227048,Refurbisher
"Poona E-Waste Solutions
 S.",250,poonaewastesolutions@g mail.co m,8888999362,Refurbisher
J Choudhary & Company,500,jchoudharyandco@gmail.c om,9869063886,Refurbisher
E-Refine Corporation,520,tapoffice15@gmail.com,9823998866,Refurbisher
Wonder Print Technologies,375,sakaria@wonderprint.in,9373522555,Refurbisher
Masstech Recycling LLP,400,bharatscrap07@gmail.co m,9821430755,Refurbisher
"Nasib Scrap Centre
 Moi Kuruli Chakan",111,rohan91000091@gmail.co m,9890191506,Refurbisher
"Roshani Scrap Center
 Gut
 Pune-411062",200,roshaniscrappune@gmail. com,9765615108,Refurbisher
"GNG Electronics Pvt. Ltd.
 MIDC Turbhe",1200,"vipul.g@electronicsbazaar
 .com",7667568801,Refurbisher
"Diamond Machinery Tools
 Gausiya Market",115,mujahidsk@hotmail.com,9869146970,Refurbisher
New India Recyclers,500,aslam.quamer@hotmail.c om,9869146970,Refurbisher
"Jai Ambe Enterprises
 S.",190,jaiambeenterprises48@g mail.com,7710999855,Refurbisher
"Moonlaxmi-E-Waste & Recycling Solutions LLP
 Pune",400,ratan@sezindia.co.in,9322251644,Refurbisher
Big Bull Recyclers Private Limited,5100,aartirahane414@gmail.co m,8208331808,Refurbisher
"Zakiya Amin Enterprises
 Nalasopara",60,zakiyaaminent102@gmail. com,9822772102,Refurbisher
Maharashtra Enterprises,300,mahaenter22@gmail.com,9892884231,Refurbisher
Amin Industries,200,halimshaha6822@gmail.c om,8149127777,Refurbisher
Erecon Recycling Pvt. Ltd.,500,e.recon21@gmail.com,9860579870,Refurbisher
"Go Green E-Recycling
 Sr.",300,erecyclinggogreen@gmail. com,9833195131,Refurbisher
Sai Enterprises,240,dinesh_dpn@yahoo.co.in,9881771133,Refurbisher
"Somnath Industries Pvt Ltd..
 OS-56",4000,somnathindustriespune1 @gmail.com,7558426313,Refurbisher
"Bombay Scrap Traders
 Gut",1000,bombaytraders78@gmail. com,9820294042,Refurbisher
"Afton E-Waste Recycling
 S.
 Janta Market",200,aftonewasterecycling@gm ail.com,9819399357,Refurbisher
"ASK Steel
 Gat",400,asksteel1@gmail.com,8087814368,Refurbisher
M. S. Malik,400,m.s.malik1973@gmail.co m,9049049113,Refurbisher
"Aman E-Waste Disposal
 S.",120,amanewastedisposals@g mail.com,8149808801,Refurbisher
Glacier Waste Management LLP,450,info.glacier21@gmail.com,9404648183,Refurbisher
"Trishulin Enterprises
 Musalgaon",300,aniljoshi008@gmail.com,9760009893,Refurbisher
"Kesariya Metal Conrporation
 Gat",300,kmcpune017@gmail.com,9422459362,Refurbisher
"Raj Enterprises
 Gut",1113,vinodrathi1975@gmail.com,9762777007,Refurbisher
Imagine Marketing Limited,790,jignesh.rambhia@imaginem arketingindia.com,9821038358,Refurbisher
"Shuaib Traders
 Gat",700,afrojsilmane@gmail.com,9588637379,Refurbisher
"Deshwal Waste Management Pvt.
 Ltd.",1000,anillnarang@rediffmail.com,9910055057,Refurbisher
"Dev IT Serv Pvt Ltd
 Gat",150,sudip.pal@ditserv.com,9910033243,Refurbisher
Shree Recyclers,180,shreerecycler@gmail.com,9822334823,Refurbisher
Lexim International Pvt. Ltd.,200,aditya.s.lolage@gmail.com,9393366060,Refurbisher
"Naaz Trading Company
 Gat",180,shakilalvi360@gmail.com,8527289786,Refurbisher
"Rajmudra Trading
 Gat",250,"rajmudratrading2121@gmail
 .com",9923671717 NA,Refurbisher
V K Metal Corporation Gut,600,vkmcpsi2019@gmail.com,9320028491,Refurbisher
Clean E-waste Recycling,100,Info@cleanrecycling.in,9833562539,Refurbisher
Lilashana Sales,360,inglesales007@gmail.com,9850349580,Dismantler
National Traders,250,national.autade@gmail.com,9850757587,Dismantler
S. S. E-Waste Recyclers,1500,ssewasterecyclers@gmail. com,9022181911,Dismantler
AG Enterprises,365,agpune57@gmail.com,9822783051,Dismantler
"Aman Trading Co. F/1
 (W)",100,aqtanveer11@gmail.com,9833721472,Dismantler
"Amiable Electroning Pvt. Ltd.
 Nerul",750,"vipul.g@electronicsbazaar
 .com",7667568801,Dismantler
E-Recon Recycling Pvt. Ltd.,500,e.recon21@gmail.com,9860579870,Dismantler
"Eco Layer E-Waste Recycling
 Estate
 Vasai E",110,nafeeshkhan35@gmail.co m,9820750836,Dismantler
Prabhunath Traders,1680,scrapcomputer11@gmail. com,9326262223,Dismantler
Kalawishwa Electrical,300,sandeepgore11@yahoo.co m,9225321499,Dismantler
Royal Scrap Traders,230,omdhoot@gmail.com,7028021132,Dismantler
Maharashtra Enterprises,500,mahaenter22@gmail.com,9892884231,Dismantler
Sigma Enterprises,350,abdulwahidkhan1038@g mail.co m,9821751038,Dismantler
Saani Enterprises,1200,shaikhjawed555@gmail.co m,9373301060,Dismantler
"Baban Plastic
 Sajapur",500,acc.babanplastic@gmail.c om,9923299786,Dismantler
Sultan Disposal Stores,600,sultandisposalstores@gma il.com,9822082794,Dismantler
Indian Scrap Traders,200,indianscrapt@gmail.com,25164797,Dismantler
"Bombay Recyclers Pvt. Ltd.
 Industrial Park",200,bombayrecyclers@gmail.c om,9821174239,Dismantler
"Hari Om Scrap Traders
 Central",49.5,hariomscrap@gmail.com,9820135742,Dismantler
"Go Green Recycling
 Mumbai",150,gogreenrecyclingindia@g mail.co m,9892859959,Dismantler
New India Scrap Traders,150,newindia95@gmail.com,9545950000,Dismantler
"Navkar Recycling
 Dahisar",1000,recycling.navkar@gmail.co m,9987470404,Dismantler
Harshita Green Recyclers,500,harshitagreenrecyclers@g mail.co m,9850205186,Dismantler
Vora Computers Pvt. Ltd.,50,voracomputers_pl@hotm ail.com,9823582374,Dismantler
"Clean Tech
 Dist: Thane",360,aashoksing@gmail.com,9892602502,Dismantler
Green IT Recycling Centre Pvt. Ltd.,1000,"rth_raj@hotmail.com
 avis.tech@rediffmail.com",9822356062,Dismantler
Bhavesh Enterprises,200,thoufise.11@gmail.com,9987263156,Dismantler
"Om Recycling
 Peth",100,omrecycling@gmail.com,9850205186,Dismantler
Process Recycling,125,san.karande1@gmail.com,7757967675,Dismantler
New Shivam Enteprises,4800,csashishbhadade@gmail.c om,7066904939,Dismantler
Mahesh Traders,107,"maheshchetiwal11@gmail
 .com",9823901011,Dismantler
Manihar Enterprises,1000,shamimmanihar7@gmail.c om,9326135646,Dismantler
Asquare Industrial Solutions,300,asquare1516@gmail.com,9860034557,Dismantler
Map Trading Company,500,abhi26mish@gmail.com,9028155357,Dismantler
"Environment Experts
 Mumbai",350,abhi26mish@gmail.com,90281553570,Dismantler
"Green Enviro Services
 Wasali",700,"greenenviropune@gmail.c
 om",9604991177,Dismantler
Bsqaure E-Waste Recyclers,325,bdwadde501@gmail.com,9920440149,Dismantler
SK E-Waste Disposal,250,shadiqkhan50@gmail.com,9766696298,Dismantler
Mahalaxmi E- Recyclers Pvt. Ltd.,525,mpmehta_2000@yahoo.c om,7276411826,Dismantler
"Kapila Enterprises
 At. Post. Supa",250,kapilaentarprises2482@g mail.co m,9762803306,Dismantler
Aqsa Stamping,300,"aqsastamping@rocketmail
 .com",9820026815,Dismantler
CPG Shell Mould & Casting,1000,cpgshell@gmail.com,9822777706,Dismantler
"Rolex Entrprises
 Hissa",500,rolex2030@gmail.com,9820072030,Dismantler
"Eco Tech Recycling
 Dist: Palghar.",450,saiprasad.anavkar@gmail. com,9664998192,Dismantler
R T Corporation,3000,rtc.iqbal@gmail.com,9324525208,Dismantler
"Ecostar Recycling
 Thane-400612.",275,recyclingecostar@gmail.co m,9969425168,Dismantler
Bombay Metal Works,1000,bombay.mw@gmail.com,9820047496,Dismantler
Ancus India Reprocessing Pvt. Ltd.,450,ancusindia@gmail.com,9594285656,Dismantler
"Progressive Recycler LLP. MIDC
 Chakan Industrial area (PH-II)",295,progressiverecycler@gmai l.com,9601262269,Dismantler
Envirocare Recycling Pvt. Ltd.,500,info@envirocareindia.co.i n,9820094450,Dismantler
Green Planet Recycling Solutions,550,info@greenrecycle.in,7666562225,Dismantler
"A. S. Enterprises
 400089",500,"as.enterprises9090@gmail
 .com",-,Dismantler
Rcube Recycling Pvt Ltd.,230,info@rcuberecycling.com,8369684193,Dismantler
"Alfa Trading Co.
 ROAD",80,alfatradingcomp@gmail.c om,9967665574,Dismantler
"Universal Waste Management
 Khairani Road
 400072 - 400072",310,snadeemalvi@gmail.com,8692005752,Dismantler
Sadab Traders,300,sadabtra.nsk@gmail.com,9372670601,Dismantler
GNG Electronics Pvt. Ltd.,750,"vipul.g@electronicsbazaar
 .com",7667568801,Dismantler
"ARSH RECYCLING PRIVATE LIMITED
 Ranjangaon Ganpati",2400,arshrecycling4@gmail.co m,7040691499,Dismantler
SAHARA ENTERPRISES,160,irfan2068@gmail.com,9821761541,Dismantler
Anand Computer System,350,anandcomputer2000@yah oo.com-,9371015373,Dismantler
Bharat E Waste Recycling Co.,500,"info@bharatewaste.com
 info@ewastemart.com",9224757187,Dismantler
Chaudhary Metal. 80/2,350,chaudharymatel123@gma il.com,9167924507,Dismantler
E Clean E Green Recycling,500,gaustechcomputers786@g mail.com,9920977276,Dismantler
Earth Sense Recycle Pvt. Ltd.,750,ewastemumbai@earthsen se.in,7738389404,Dismantler
Regreen Recycling,120,info@regreenrecycling.co m,9819787816,Dismantler
Solapur Econ Recyfine,750,solapureconrecyfine21@g mail.com,9763034875,Dismantler
"Greenscape Eco Management Private Limited
 410501",900,rupesh@greenscape- eco.com,7558426313,Dismantler
Krishna Metal Refinery,750,krishnarefinery@gmail.co m,9323901533,Dismantler
"Kuldeep E-Waste Disposals
 Katraj",90,"sagarscrap@gmail.com
 jayant@connectinfosol.co m",9850289885,Dismantler
"Mac Fix Station
 Mumbai Suburban - 400052",800,skasim11@gmail.com,8879765306,Dismantler
"Manish Metal
 Ashtekar Bangla",550,"manish.metal5050@gmail
 .com",9850059804,Dismantler
S.K. Enterprises,5000,skeprocessorsindia@yaho o.com,9422232332,Dismantler
BKE RECYCLING,300,bkerecycling@gmail.com,9764279786,Dismantler
Nagraj E-Waste Recycling,1800,nagrajewaste@gmail.com,9595105301,Dismantler
New Ecotech Recycling,300,newecotechrecycling@gm ail.com,9096088943,Dismantler
R.K.E-Recycling International LLP Gala no.-2,130,info@rkrecycle.com,9004211892,Dismantler
"CBS E-Waste Recycling Industries
 G.",2500,ganesh_bwalunj@rediffm ail.com,8275451169,Dismantler
J. S. Enterprises,650,jsenterprises21@gmail.co m,9921280827,Dismantler
"Scape E Recycler Private Limited
 431511",235,info@scaperecycler.com,9970062892,Dismantler
"NICHOLAS RECYCLING PRIVATE
 LIMITED",500,info@ewasterecycling.co.i n,9821010148,Dismantler
K. G. N. Traders,900,haider.rbt@gmail.com,9820484202,Dismantler
"THE2BROS
 Chandivali
 400072",275,Trade.The2bros@gmail.co m,8657771236,Dismantler
Right E-waste Recycle,400,santhanakumar@rightewa ste.com,7738389606,Dismantler
EMS Scrapo,90,Emsscrapo@gmail.com,8793606855,Refurbisher
Mayra Corporation,30,navnathsarwar@gmail.co m,9922142660,Dismantler
Perfect E-Waste Recyclers,184,perfectrecycler@gmail.co m,9881381700,Dismantler
Sahara Traders,700,aashiyana10000@gmail.co m,9284080819,Dismantler
Trekomac Refurbs Pvt. Ltd.,400,refurbs.trekomac@gmail.c om,8652658017,Dismantler
Unity Enterprises,1200,unityenterprises.ue@gmai l.com,9762306473,Dismantler
Shabbir Traders,300,khanbashir5@gmail.com,9987737861,Dismantler
"Recycling Future
 Bhangarpada",500,katekar.aniket@gmail.com,9892027022,Dismantler
Star Envo Recycling (I) Private Limited,250,envorecycling@gmail.com,8097910947,Dismantler
"Shifa Traders
 Moshi Road",300,shifatreaders92@gmail.co m,9823724192,Dismantler
"S. N. Brothers
 Dist Palghar",180,snbrothers74@gmail.com,9820980389,Dismantler
YASIN SCRAP,200,kaileshmohite@gmail.com,8805996742,Dismantler
Reteck Envirotech Pvt. Ltd.,2500,amol.varhadi@reteck.in,9892334045,Dismantler
"Vatsala Enterprises
 Village Rajapur",280,sagarkakad2021@gmail.co m,9822346339,Dismantler
S K Enterprises,300,skenterprises5798@gmail. com,8433865798,Dismantler
OM R V Interiors,250,info@omrvinteriors.com,9869587333,Dismantler
"Mauli Metals
 Kadachi Wadi",360,suryakantniture.com@gm ail.com,9860296504,Dismantler
Grade Infratech Pvt. Ltd.,300,avanishsingh777@yahoo.c om,9326135646,Dismantler
General Technologies India Pvt Ltd,100,barun.adak@generaltechn ologies.co.in,9833382276,Dismantler
"National Trading Corporation
 Pimpri",140,ntcorp@live.com,9892416216,Dismantler
Spas Computers Pvt. Ltd. 7 & 12,500,spascomputers@gmail.co m,8898899899,Dismantler
Noble Trading Company,265,habimht@gmail.com,9869146970,Dismantler
Pakeeza Traders,720,shmsudeen_123@rediffm ail.com,9870006296,Dismantler
"D Trading Company
 Dist- Pune",451,dtradingcompany155@gm ail.com,9970865338,Dismantler
Rajhans Ferrous Scrap Trade Private Limited,500,accounts@rajhanstrade.co,9618785285,Dismantler
"CLEAN PLANET LLP
 42",2700,sawantrohan18@gmail.co m,9969664655,Dismantler
"JUPITER ENTERPRISES
 and 09 Gilbert Compound",150,jupiterenterprises194@g mail.com,9028556744,Dismantler
Biyani Polymers,350,biyaniprateek@yahoo.co m,9823020288,Refurbihser
ALFA TRADING COMPANY,600,alfatradingcomp@gmail.c om,996766557,Dismantler
Lico Materials Pvt Ltd,1000,ashok.bagchi@epsiloncarb on.com,9869528190,Dismantler
Recycle Mitra Eco Care LLP,100,info@recyclemitra.com,7506942278,Dismantler
"NIZAM ENTERPRISES
 Jyot Industrial Premises Co Op Society Ltd",90,"safatchoudhary@yahoo.co
 .in",9823669059,Dismantler
"HAQ Processing Pvt. Ltd.
 Vasai",224,info.haqprocess@gmail.co m,9220203132,Dismantler
"Muskmelon Envtech Pvt. Ltd. Godown D-4
 Nagar Road",400,muskmelon050@gmail.co m,7040691499,Dismantler
"Green Clean Recycling
 Hissa No 4",350,"greencleanrecycler@gmail
 .com",8837610084,Dismantler
S. K. Enterprises,5000,skeprocessorsindia@yaho o.com,9822475277,Dismantler
"Valji Khimji & Co.
 Gut",3600,pratapkmange@gmail.co m,9763243771,Dismantler
Anitha Sri Recycling,200,anithasrirecycling@gmail.c om,9949611212,Dismantler
Naved Enterprises,150,"naveedkhan.nk966@gmail
 .com",9075032007,Dismantler
E Cycle & Company,140,sanjaymawal26@gmail.co m,9763395894,Dismantler
Saraswati Enterprises,1000,saraswatie2@gmail.com,9850417772,Dismantler
Aman Steel Enterprises,200,amansteel002@gmail.com BPUPK,9822816329,Dismantler
"AVIS Group
 Nagari",200,mohdazim.sheikh03@gma il.com,976294000000,Dismantler
"Mukesh Metal
 Panvel Road",400,info@mukeshmetal.net,9819893595,Dismantler
Wave E Waste Recycling Pvt Ltd. Sr.,200,waveewasterecycling@gm ail.com,9076607151,Dismantler
A K Barrels and Generals Scrap,225,rizwan.cugar@gmail.com,8655013969,Dismantler
"Savita Barrels
 Mumbai. - 400086",125,dineshbhanushali@hotmai l.com,9820731111,Dismantler
Lucky Enterprises,500,"khannisarahmed09@gmail
 .com",9820386123,Dismantler
Raza Enterprises,365,razaentp1986@gmail.com,9921002786,Dismantler
National Sales Corporation,250,nationalsalescorporation.p une@gmail.com,9371007036,Dismantler
Green Care E Waste Recycling,200,nitinhule123@gmail.com,9820928610,Dismantler
"Z A Barrel Suppliers
 Thane",125,z.a.barrelsuppliers@gmail.co m,9870675453,Dismantler
Bakruddin Din Mohammad,165,bakarudeenenterprises@gm ail.com,7744876875,Dismantler
Eco Tantra LLP,300,richa@ecotantra.in,8981473653,Refurbisher
