Company Name,Capacity Allotted (MT/A),Email Address,Phone Number,Type
"E-Frontline Recycling Pvt. Ltd. Gat
 Warehouse",40000.0,efrplserver@gmail.com,8980300024,Recycler
JRS Recycling Solutions Pvt. Ltd. Gala,1044.0,shahid.jrsrecycling@gmail.co m,9004126767,Recycler
Kuldeep Green Recyclers Private Limited,1200.0,ewastekuldeep@gmail.com,7733995555,Refurbisher
Vozon Comsof Pvt Ltd,5000.0,rajendrakale.vozon@gmail.c om,8600726007,Refurbisher
"J K Corporation
 Survey",200.0,j.kcorporation0786@gmail.c om,9769739420,Refurbisher
"Ambar Enterprises
 S.",1000.0,ambarent028@gmail.com,9890812746,Refurbisher
Kohinoor E-Waste Recycling Pvt. Ltd. Gut,8000.0,kohinoorewasterecycling @gmail.com,9821227048,Refurbisher
"Poona E-Waste Solutions
 S.",250.0,poonaewastesolutions@g mail.co m,8888999362,Refurbisher
J Choudhary & Company,500.0,jchoudharyandco@gmail.c om,9869063886,Refurbisher
E-Refine Corporation,520.0,tapoffice15@gmail.com,9823998866,Refurbisher
Wonder Print Technologies,375.0,sakaria@wonderprint.in,9373522555,Refurbisher
Masstech Recycling LLP,400.0,bharatscrap07@gmail.co m,9821430755,Refurbisher
"Nasib Scrap Centre
 Moi Kuruli Chakan",111.0,rohan91000091@gmail.co m,9890191506,Refurbisher
"Roshani Scrap Center
 Gut
 Pune-411062",200.0,roshaniscrappune@gmail. com,9765615108,Refurbisher
"GNG Electronics Pvt. Ltd.
 MIDC Turbhe",1200.0,"vipul.g@electronicsbazaar
 .com",7667568801,Refurbisher
"Diamond Machinery Tools
 Gausiya Market",115.0,mujahidsk@hotmail.com,9869146970,Refurbisher
New India Recyclers,500.0,aslam.quamer@hotmail.c om,9869146970,Refurbisher
"Jai Ambe Enterprises
 S.",190.0,jaiambeenterprises48@g mail.com,7710999855,Refurbisher
"Moonlaxmi-E-Waste & Recycling Solutions LLP
 Pune",400.0,ratan@sezindia.co.in,9322251644,Refurbisher
Big Bull Recyclers Private Limited,5100.0,aartirahane414@gmail.co m,8208331808,Refurbisher
"Zakiya Amin Enterprises
 Nalasopara",60.0,zakiyaaminent102@gmail. com,9822772102,Refurbisher
Maharashtra Enterprises,300.0,mahaenter22@gmail.com,9892884231,Refurbisher
Amin Industries,200.0,halimshaha6822@gmail.c om,8149127777,Refurbisher
Erecon Recycling Pvt. Ltd.,500.0,e.recon21@gmail.com,9860579870,Refurbisher
"Go Green E-Recycling
 Sr.",300.0,erecyclinggogreen@gmail. com,9833195131,Refurbisher
Sai Enterprises,240.0,dinesh_dpn@yahoo.co.in,9881771133,Refurbisher
"Somnath Industries Pvt Ltd..
 OS-56",4000.0,somnathindustriespune1 @gmail.com,7558426313,Refurbisher
"Bombay Scrap Traders
 Gut",1000.0,bombaytraders78@gmail. com,9820294042,Refurbisher
"Afton E-Waste Recycling
 S.
 Janta Market",200.0,aftonewasterecycling@gm ail.com,9819399357,Refurbisher
"ASK Steel
 Gat",400.0,asksteel1@gmail.com,8087814368,Refurbisher
M. S. Malik,400.0,m.s.malik1973@gmail.co m,9049049113,Refurbisher
"Aman E-Waste Disposal
 S.",120.0,amanewastedisposals@g mail.com,8149808801,Refurbisher
Glacier Waste Management LLP,450.0,info.glacier21@gmail.com,9404648183,Refurbisher
"Trishulin Enterprises
 Musalgaon",300.0,aniljoshi008@gmail.com,9760009893,Refurbisher
"Kesariya Metal Conrporation
 Gat",300.0,kmcpune017@gmail.com,9422459362,Refurbisher
"Raj Enterprises
 Gut",1113.0,vinodrathi1975@gmail.com,9762777007,Refurbisher
Imagine Marketing Limited,790.0,jignesh.rambhia@imaginem arketingindia.com,9821038358,Refurbisher
"Shuaib Traders
 Gat",700.0,afrojsilmane@gmail.com,9588637379,Refurbisher
"Deshwal Waste Management Pvt.
 Ltd.",1000.0,anillnarang@rediffmail.com,9910055057,Refurbisher
"Dev IT Serv Pvt Ltd
 Gat",150.0,sudip.pal@ditserv.com,9910033243,Refurbisher
Shree Recyclers,180.0,shreerecycler@gmail.com,9822334823,Refurbisher
Lexim International Pvt. Ltd.,200.0,aditya.s.lolage@gmail.com,9393366060,Refurbisher
"Naaz Trading Company
 Gat",180.0,shakilalvi360@gmail.com,8527289786,Refurbisher
"Rajmudra Trading
 Gat",250.0,"rajmudratrading2121@gmail
 .com",9923671717 NA,Refurbisher
V K Metal Corporation Gut,600.0,vkmcpsi2019@gmail.com,9320028491,Refurbisher
Clean E-waste Recycling,100.0,Info@cleanrecycling.in,9833562539,Refurbisher
EMS Scrapo,90.0,Emsscrapo@gmail.com,8793606855,Refurbisher
Eco Tantra LLP,300.0,richa@ecotantra.in,8981473653,Refurbisher
